Weekly U.S. Field Production of Crude Oil (Thousand Barrels per Day),,,,,,,,,,
Year-Month,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,
,End Date,Value,End Date,Value,End Date,Value,End Date,Value,End Date,Value
  1983-Jan,01/07 ,"8,634   ",01/14 ,"8,634   ",01/21 ,"8,634   ",01/28 ,"8,634   ",,   
  1983-Feb,02/04 ,"8,660   ",02/11 ,"8,660   ",02/18 ,"8,660   ",02/25 ,"8,660   ",,   
  1983-Mar,03/04 ,"8,677   ",03/11 ,"8,677   ",03/18 ,"8,677   ",03/25 ,"8,677   ",,   
  1983-Apr,04/01 ,"8,677   ",04/08 ,"8,686   ",04/15 ,"8,686   ",,   ,04/29 ,"8,686   "
  1983-May,,   ,05/13 ,"8,682   ",05/20 ,"8,682   ",,   ,,   
  1983-Jun,06/03 ,"8,676   ",06/10 ,"8,676   ",06/17 ,"8,676   ",06/24 ,"8,676   ",,   
  1983-Jul,07/01 ,"8,676   ",07/08 ,"8,647   ",07/15 ,"8,647   ",07/22 ,"8,647   ",07/29 ,"8,647   "
  1983-Aug,08/05 ,"8,653   ",08/12 ,"8,653   ",08/19 ,"8,653   ",08/26 ,"8,653   ",,   
  1983-Sep,09/02 ,"8,666   ",09/09 ,"8,666   ",09/16 ,"8,666   ",09/23 ,"8,666   ",09/30 ,"8,666   "
  1983-Oct,10/07 ,"8,654   ",10/14 ,"8,654   ",10/21 ,"8,654   ",10/28 ,"8,654   ",,   
  1983-Nov,11/04 ,"8,624   ",11/11 ,"8,624   ",11/18 ,"8,624   ",11/25 ,"8,624   ",,   
  1983-Dec,12/02 ,"8,612   ",12/09 ,"8,612   ",12/16 ,"8,612   ",12/23 ,"8,612   ",12/30 ,"8,612   "
  1984-Jan,01/06 ,"8,659   ",01/13 ,"8,659   ",01/20 ,"8,659   ",01/27 ,"8,659   ",,   
  1984-Feb,02/03 ,"8,726   ",02/10 ,"8,726   ",02/17 ,"8,726   ",02/24 ,"8,726   ",,   
  1984-Mar,03/02 ,"8,718   ",03/09 ,"8,718   ",03/16 ,"8,718   ",03/23 ,"8,718   ",03/30 ,"8,718   "
  1984-Apr,04/06 ,"8,688   ",04/13 ,"8,688   ",04/20 ,"8,688   ",04/27 ,"8,688   ",,   
  1984-May,05/04 ,"8,753   ",05/11 ,"8,753   ",05/18 ,"8,753   ",05/25 ,"8,753   ",,   
  1984-Jun,06/01 ,"8,743   ",06/08 ,"8,743   ",06/15 ,"8,743   ",06/22 ,"8,743   ",06/29 ,"8,743   "
  1984-Jul,07/06 ,"8,769   ",07/13 ,"8,769   ",07/20 ,"8,769   ",07/27 ,"8,769   ",,   
  1984-Aug,08/03 ,"8,781   ",08/10 ,"8,781   ",08/17 ,"8,781   ",08/24 ,"8,781   ",08/31 ,"8,781   "
  1984-Sep,09/07 ,"8,759   ",09/14 ,"8,759   ",09/21 ,"8,759   ",09/28 ,"8,759   ",,   
  1984-Oct,10/05 ,"8,847   ",10/12 ,"8,847   ",10/19 ,"8,847   ",10/26 ,"8,847   ",,   
  1984-Nov,11/02 ,"8,846   ",11/09 ,"8,846   ",11/16 ,"8,846   ",11/23 ,"8,846   ",11/30 ,"8,846   "
  1984-Dec,12/07 ,"8,797   ",12/14 ,"8,797   ",12/21 ,"8,797   ",12/28 ,"8,797   ",,   
  1985-Jan,01/04 ,"8,929   ",01/11 ,"8,929   ",01/18 ,"8,929   ",01/25 ,"8,929   ",,   
  1985-Feb,02/01 ,"8,928   ",02/08 ,"8,928   ",02/15 ,"8,928   ",02/22 ,"8,928   ",,   
  1985-Mar,03/01 ,"8,927   ",03/08 ,"8,927   ",03/15 ,"8,927   ",03/22 ,"8,927   ",03/29 ,"8,927   "
  1985-Apr,04/05 ,"8,842   ",04/12 ,"8,842   ",04/19 ,"8,842   ",04/26 ,"8,842   ",,   
  1985-May,05/03 ,"8,969   ",05/10 ,"8,969   ",05/17 ,"8,969   ",05/24 ,"8,969   ",05/31 ,"8,969   "
  1985-Jun,06/07 ,"8,965   ",06/14 ,"8,965   ",06/21 ,"8,965   ",06/28 ,"8,965   ",,   
  1985-Jul,07/05 ,"8,904   ",07/12 ,"8,904   ",07/19 ,"8,904   ",07/26 ,"8,904   ",,   
  1985-Aug,08/02 ,"8,895   ",08/09 ,"8,895   ",08/16 ,"8,895   ",08/23 ,"8,895   ",08/30 ,"8,895   "
  1985-Sep,09/06 ,"8,874   ",09/13 ,"8,874   ",09/20 ,"8,874   ",09/27 ,"8,874   ",,   
  1985-Oct,10/04 ,"8,943   ",10/11 ,"8,943   ",10/18 ,"8,943   ",10/25 ,"8,943   ",,   
  1985-Nov,11/01 ,"8,932   ",11/08 ,"8,932   ",11/15 ,"8,932   ",11/22 ,"8,932   ",11/29 ,"8,932   "
  1985-Dec,12/06 ,"8,930   ",12/13 ,"8,930   ",12/20 ,"8,930   ",12/27 ,"8,930   ",,   
  1986-Jan,01/03 ,"8,942   ",01/10 ,"8,942   ",01/17 ,"8,942   ",01/24 ,"8,942   ",01/31 ,"8,942   "
  1986-Feb,02/07 ,"8,940   ",02/14 ,"8,940   ",02/21 ,"8,940   ",02/28 ,"8,939   ",,   
  1986-Mar,03/07 ,"8,939   ",03/14 ,"8,939   ",03/21 ,"8,939   ",03/28 ,"8,939   ",,   
  1986-Apr,04/04 ,"8,815   ",04/11 ,"8,815   ",04/18 ,"8,815   ",04/25 ,"8,815   ",,   
  1986-May,05/02 ,"8,805   ",05/09 ,"8,805   ",05/16 ,"8,805   ",05/23 ,"8,805   ",05/30 ,"8,805   "
  1986-Jun,06/06 ,"8,792   ",06/13 ,"8,792   ",06/20 ,"8,792   ",06/27 ,"8,792   ",,   
  1986-Jul,07/04 ,"8,737   ",07/11 ,"8,737   ",07/18 ,"8,737   ",07/25 ,"8,737   ",,   
  1986-Aug,08/01 ,"8,737   ",08/08 ,"8,708   ",08/15 ,"8,708   ",08/22 ,"8,708   ",08/29 ,"8,708   "
  1986-Sep,09/05 ,"8,671   ",09/12 ,"8,671   ",09/19 ,"8,671   ",09/26 ,"8,671   ",,   
  1986-Oct,10/03 ,"8,773   ",10/10 ,"8,773   ",10/17 ,"8,773   ",10/24 ,"8,773   ",10/31 ,"8,773   "
  1986-Nov,11/07 ,"8,321   ",11/14 ,"8,321   ",11/21 ,"8,321   ",11/28 ,"8,321   ",,   
  1986-Dec,12/05 ,"8,348   ",12/12 ,"8,348   ",12/19 ,"8,348   ",12/26 ,"8,348   ",,   
  1987-Jan,01/02 ,"8,353   ",01/09 ,"8,354   ",01/16 ,"8,354   ",01/23 ,"8,354   ",01/30 ,"8,354   "
  1987-Feb,02/06 ,"8,383   ",02/13 ,"8,383   ",02/20 ,"8,383   ",02/27 ,"8,383   ",,   
  1987-Mar,03/06 ,"8,336   ",03/13 ,"8,336   ",03/20 ,"8,336   ",03/27 ,"8,336   ",,   
  1987-Apr,04/03 ,"8,361   ",04/10 ,"8,361   ",04/17 ,"8,361   ",04/24 ,"8,361   ",,   
  1987-May,05/01 ,"8,361   ",05/08 ,"8,296   ",05/15 ,"8,296   ",05/22 ,"8,296   ",05/29 ,"8,296   "
  1987-Jun,06/05 ,"8,303   ",06/12 ,"8,303   ",06/19 ,"8,303   ",06/26 ,"8,303   ",,   
  1987-Jul,07/03 ,"8,287   ",07/10 ,"8,287   ",07/17 ,"8,287   ",07/24 ,"8,287   ",07/31 ,"8,287   "
  1987-Aug,08/07 ,"8,204   ",08/14 ,"8,204   ",08/21 ,"8,204   ",08/28 ,"8,204   ",,   
  1987-Sep,09/04 ,"8,162   ",09/11 ,"8,162   ",09/18 ,"8,162   ",09/25 ,"8,162   ",,   
  1987-Oct,10/02 ,"8,281   ",10/09 ,"8,281   ",10/16 ,"8,281   ",10/23 ,"8,281   ",10/30 ,"8,281   "
  1987-Nov,11/06 ,"8,283   ",11/13 ,"8,283   ",11/20 ,"8,283   ",11/27 ,"8,283   ",,   
  1987-Dec,12/04 ,"8,348   ",12/11 ,"8,348   ",12/18 ,"8,348   ",12/25 ,"8,348   ",,   
  1988-Jan,01/01 ,"8,348   ",01/08 ,"8,395   ",01/15 ,"8,395   ",01/22 ,"8,395   ",01/29 ,"8,395   "
  1988-Feb,02/05 ,"8,353   ",02/12 ,"8,353   ",02/19 ,"8,353   ",02/26 ,"8,353   ",,   
  1988-Mar,03/04 ,"8,306   ",03/11 ,"8,306   ",03/18 ,"8,306   ",03/25 ,"8,306   ",,   
  1988-Apr,04/01 ,"8,306   ",04/08 ,"8,269   ",04/15 ,"8,269   ",04/22 ,"8,269   ",04/29 ,"8,269   "
  1988-May,05/06 ,"8,240   ",05/13 ,"8,240   ",05/20 ,"8,240   ",05/27 ,"8,240   ",,   
  1988-Jun,06/03 ,"8,210   ",06/10 ,"8,210   ",06/17 ,"8,210   ",06/24 ,"8,210   ",,   
  1988-Jul,07/01 ,"8,210   ",07/08 ,"8,189   ",07/15 ,"8,189   ",07/22 ,"8,189   ",07/29 ,"8,189   "
  1988-Aug,08/05 ,"8,128   ",08/12 ,"8,128   ",08/19 ,"8,128   ",08/26 ,"8,128   ",,   
  1988-Sep,09/02 ,"8,147   ",09/09 ,"8,147   ",09/16 ,"8,147   ",09/23 ,"8,147   ",09/30 ,"8,147   "
  1988-Oct,10/07 ,"8,085   ",10/14 ,"8,085   ",10/21 ,"8,085   ",10/28 ,"8,085   ",,   
  1988-Nov,11/04 ,"8,026   ",11/11 ,"8,026   ",11/18 ,"8,026   ",11/25 ,"8,026   ",,   
  1988-Dec,12/02 ,"8,035   ",12/09 ,"8,035   ",12/16 ,"8,035   ",12/23 ,"8,035   ",12/30 ,"8,035   "
  1989-Jan,01/06 ,"8,021   ",01/13 ,"8,021   ",01/20 ,"8,021   ",01/27 ,"8,021   ",,   
  1989-Feb,02/03 ,"7,965   ",02/10 ,"7,965   ",02/17 ,"7,965   ",02/24 ,"7,965   ",,   
  1989-Mar,03/03 ,"7,921   ",03/10 ,"7,921   ",03/17 ,"7,921   ",03/24 ,"7,921   ",03/31 ,"7,921   "
  1989-Apr,04/07 ,"7,880   ",04/14 ,"7,880   ",04/21 ,"7,880   ",04/28 ,"7,880   ",,   
  1989-May,05/05 ,"7,843   ",05/12 ,"7,843   ",05/19 ,"7,843   ",05/26 ,"7,843   ",,   
  1989-Jun,06/02 ,"7,726   ",06/09 ,"7,726   ",06/16 ,"7,726   ",06/23 ,"7,726   ",06/30 ,"7,726   "
  1989-Jul,07/07 ,"7,622   ",07/14 ,"7,622   ",07/21 ,"7,622   ",07/28 ,"7,622   ",,   
  1989-Aug,08/04 ,"7,662   ",08/11 ,"7,662   ",08/18 ,"7,662   ",08/25 ,"7,662   ",,   
  1989-Sep,09/01 ,"7,662   ",09/08 ,"7,641   ",09/15 ,"7,641   ",09/22 ,"7,641   ",09/29 ,"7,641   "
  1989-Oct,10/06 ,"7,644   ",10/13 ,"7,644   ",10/20 ,"7,644   ",10/27 ,"7,644   ",,   
  1989-Nov,11/03 ,"7,601   ",11/10 ,"7,601   ",11/17 ,"7,601   ",11/24 ,"7,601   ",,   
  1989-Dec,12/01 ,"7,601   ",12/08 ,"7,565   ",12/15 ,"7,565   ",12/22 ,"7,565   ",12/29 ,"7,565   "
  1990-Jan,01/05 ,"7,512   ",01/12 ,"7,512   ",01/19 ,"7,512   ",01/26 ,"7,512   ",,   
  1990-Feb,02/02 ,"7,399   ",02/09 ,"7,399   ",02/16 ,"7,399   ",02/23 ,"7,399   ",,   
  1990-Mar,03/02 ,"7,411   ",03/09 ,"7,411   ",03/16 ,"7,411   ",03/23 ,"7,411   ",03/30 ,"7,411   "
  1990-Apr,04/06 ,"7,310   ",04/13 ,"7,310   ",04/20 ,"7,310   ",04/27 ,"7,310   ",,   
  1990-May,05/04 ,"7,241   ",05/11 ,"7,241   ",05/18 ,"7,241   ",05/25 ,"7,241   ",,   
  1990-Jun,06/01 ,"7,241   ",06/08 ,"6,981   ",06/15 ,"6,981   ",06/22 ,"6,981   ",06/29 ,"6,981   "
  1990-Jul,07/06 ,"7,130   ",07/13 ,"7,130   ",07/20 ,"7,130   ",07/27 ,"7,130   ",,   
  1990-Aug,08/03 ,"6,971   ",08/10 ,"6,971   ",08/17 ,"6,971   ",08/24 ,"6,971   ",08/31 ,"6,971   "
  1990-Sep,09/07 ,"6,991   ",09/14 ,"6,991   ",09/21 ,"7,041   ",09/28 ,"7,041   ",,   
  1990-Oct,10/05 ,"7,261   ",10/12 ,"7,261   ",10/19 ,"7,261   ",10/26 ,"7,329   ",,   
  1990-Nov,11/02 ,"7,342   ",11/09 ,"7,284   ",11/16 ,"6,910   ",11/23 ,"7,440   ",11/30 ,"7,235   "
  1990-Dec,12/07 ,"6,996   ",12/14 ,"7,474   ",12/21 ,"7,245   ",12/28 ,"7,559   ",,   
  1991-Jan,01/04 ,"7,481   ",01/11 ,"7,475   ",01/18 ,"7,461   ",01/25 ,"7,219   ",,   
  1991-Feb,02/01 ,"7,477   ",02/08 ,"7,463   ",02/15 ,"7,427   ",02/22 ,"7,415   ",,   
  1991-Mar,03/01 ,"7,404   ",03/08 ,"7,394   ",03/15 ,"7,412   ",03/22 ,"7,385   ",03/29 ,"7,383   "
  1991-Apr,04/05 ,"7,356   ",04/12 ,"7,334   ",04/19 ,"7,370   ",04/26 ,"7,346   ",,   
  1991-May,05/03 ,"7,295   ",05/10 ,"7,303   ",05/17 ,"7,280   ",05/24 ,"7,336   ",05/31 ,"7,323   "
  1991-Jun,06/07 ,"7,301   ",06/14 ,"7,359   ",06/21 ,"7,338   ",06/28 ,"7,377   ",,   
  1991-Jul,07/05 ,"7,383   ",07/12 ,"7,365   ",07/19 ,"7,348   ",07/26 ,"7,355   ",,   
  1991-Aug,08/02 ,"7,342   ",08/09 ,"7,228   ",08/16 ,"7,302   ",08/23 ,"7,215   ",08/30 ,"7,274   "
  1991-Sep,09/06 ,"7,150   ",09/13 ,"7,267   ",09/20 ,"7,327   ",09/27 ,"7,365   ",,   
  1991-Oct,10/04 ,"7,381   ",10/11 ,"7,387   ",10/18 ,"7,381   ",10/25 ,"7,384   ",,   
  1991-Nov,11/01 ,"7,359   ",11/08 ,"7,140   ",11/15 ,"7,426   ",11/22 ,"7,388   ",11/29 ,"7,226   "
  1991-Dec,12/06 ,"7,376   ",12/13 ,"6,731   ",12/20 ,"7,451   ",12/27 ,"7,449   ",,   
  1992-Jan,01/03 ,"7,422   ",01/10 ,"7,410   ",01/17 ,"7,235   ",01/24 ,"7,343   ",01/31 ,"7,357   "
  1992-Feb,02/07 ,"7,382   ",02/14 ,"7,364   ",02/21 ,"7,329   ",02/28 ,"7,365   ",,   
  1992-Mar,03/06 ,"7,357   ",03/13 ,"7,345   ",03/20 ,"7,324   ",03/27 ,"7,283   ",,   
  1992-Apr,04/03 ,"7,327   ",04/10 ,"7,277   ",04/17 ,"7,353   ",04/24 ,"7,238   ",,   
  1992-May,05/01 ,"7,235   ",05/08 ,"7,248   ",05/15 ,"7,160   ",05/22 ,"7,205   ",05/29 ,"7,219   "
  1992-Jun,06/05 ,"7,240   ",06/12 ,"7,228   ",06/19 ,"7,218   ",06/26 ,"7,194   ",,   
  1992-Jul,07/03 ,"7,221   ",07/10 ,"7,125   ",07/17 ,"7,144   ",07/24 ,"7,095   ",07/31 ,"7,059   "
  1992-Aug,08/07 ,"7,124   ",08/14 ,"6,990   ",08/21 ,"7,120   ",08/28 ,"6,678   ",,   
  1992-Sep,09/04 ,"6,847   ",09/11 ,"6,955   ",09/18 ,"7,012   ",09/25 ,"7,049   ",,   
  1992-Oct,10/02 ,"7,046   ",10/09 ,"7,011   ",10/16 ,"7,032   ",10/23 ,"7,036   ",10/30 ,"7,041   "
  1992-Nov,11/06 ,"7,011   ",11/13 ,"6,954   ",11/20 ,"6,987   ",11/27 ,"7,064   ",,   
  1992-Dec,12/04 ,"7,074   ",12/11 ,"7,087   ",12/18 ,"7,098   ",12/25 ,"7,053   ",,   
  1993-Jan,01/01 ,"6,995   ",01/08 ,"7,015   ",01/15 ,"6,994   ",01/22 ,"7,043   ",01/29 ,"7,035   "
  1993-Feb,02/05 ,"7,031   ",02/12 ,"7,033   ",02/19 ,"6,960   ",02/26 ,"6,981   ",,   
  1993-Mar,03/05 ,"7,018   ",03/12 ,"6,981   ",03/19 ,"6,979   ",03/26 ,"6,964   ",,   
  1993-Apr,04/02 ,"6,971   ",04/09 ,"6,883   ",04/16 ,"6,896   ",04/23 ,"6,912   ",04/30 ,"6,913   "
  1993-May,05/07 ,"6,902   ",05/14 ,"6,846   ",05/21 ,"6,818   ",05/28 ,"6,842   ",,   
  1993-Jun,06/04 ,"6,789   ",06/11 ,"6,817   ",06/18 ,"6,766   ",06/25 ,"6,749   ",,   
  1993-Jul,07/02 ,"6,742   ",07/09 ,"6,772   ",07/16 ,"6,643   ",07/23 ,"6,540   ",07/30 ,"6,730   "
  1993-Aug,08/06 ,"6,753   ",08/13 ,"6,761   ",08/20 ,"6,774   ",08/27 ,"6,790   ",,   
  1993-Sep,09/03 ,"6,734   ",09/10 ,"6,665   ",09/17 ,"6,706   ",09/24 ,"6,650   ",,   
  1993-Oct,10/01 ,"6,684   ",10/08 ,"6,654   ",10/15 ,"6,772   ",10/22 ,"6,837   ",10/29 ,"6,868   "
  1993-Nov,11/05 ,"6,872   ",11/12 ,"6,882   ",11/19 ,"6,847   ",11/26 ,"6,878   ",,   
  1993-Dec,12/03 ,"6,943   ",12/10 ,"6,923   ",12/17 ,"6,897   ",12/24 ,"6,854   ",12/31 ,"6,857   "
  1994-Jan,01/07 ,"6,875   ",01/14 ,"6,880   ",01/21 ,"6,845   ",01/28 ,"6,886   ",,   
  1994-Feb,02/04 ,"6,836   ",02/11 ,"6,802   ",02/18 ,"6,546   ",02/25 ,"6,792   ",,   
  1994-Mar,03/04 ,"6,763   ",03/11 ,"6,704   ",03/18 ,"6,728   ",03/25 ,"6,599   ",,   
  1994-Apr,04/01 ,"6,683   ",04/08 ,"6,641   ",04/15 ,"6,711   ",04/22 ,"6,292   ",04/29 ,"6,748   "
  1994-May,05/06 ,"6,706   ",05/13 ,"6,657   ",05/20 ,"6,732   ",05/27 ,"6,629   ",,   
  1994-Jun,06/03 ,"6,695   ",06/10 ,"6,530   ",06/17 ,"6,648   ",06/24 ,"6,656   ",,   
  1994-Jul,07/01 ,"6,604   ",07/08 ,"6,591   ",07/15 ,"6,618   ",07/22 ,"6,522   ",07/29 ,"6,566   "
  1994-Aug,08/05 ,"6,582   ",08/12 ,"6,521   ",08/19 ,"6,540   ",08/26 ,"6,583   ",,   
  1994-Sep,09/02 ,"6,552   ",09/09 ,"6,545   ",09/16 ,"6,526   ",09/23 ,"6,595   ",09/30 ,"6,640   "
  1994-Oct,10/07 ,"6,692   ",10/14 ,"6,703   ",10/21 ,"6,703   ",10/28 ,"6,633   ",,   
  1994-Nov,11/04 ,"6,620   ",11/11 ,"6,616   ",11/18 ,"6,668   ",11/25 ,"6,626   ",,   
  1994-Dec,12/02 ,"6,472   ",12/09 ,"6,670   ",12/16 ,"6,655   ",12/23 ,"6,703   ",12/30 ,"6,675   "
  1995-Jan,01/06 ,"6,651   ",01/13 ,"6,672   ",01/20 ,"6,571   ",01/27 ,"6,526   ",,   
  1995-Feb,02/03 ,"6,662   ",02/10 ,"6,595   ",02/17 ,"6,613   ",02/24 ,"6,546   ",,   
  1995-Mar,03/03 ,"6,660   ",03/10 ,"6,598   ",03/17 ,"6,632   ",03/24 ,"6,474   ",03/31 ,"6,380   "
  1995-Apr,04/07 ,"6,554   ",04/14 ,"6,597   ",04/21 ,"6,603   ",04/28 ,"6,539   ",,   
  1995-May,05/05 ,"6,604   ",05/12 ,"6,610   ",05/19 ,"6,598   ",05/26 ,"6,626   ",,   
  1995-Jun,06/02 ,"6,592   ",06/09 ,"6,593   ",06/16 ,"6,560   ",06/23 ,"6,529   ",06/30 ,"6,545   "
  1995-Jul,07/07 ,"6,518   ",07/14 ,"6,448   ",07/21 ,"6,417   ",07/28 ,"6,484   ",,   
  1995-Aug,08/04 ,"6,444   ",08/11 ,"6,476   ",08/18 ,"6,475   ",08/25 ,"6,483   ",,   
  1995-Sep,09/01 ,"6,507   ",09/08 ,"6,491   ",09/15 ,"6,248   ",09/22 ,"6,414   ",09/29 ,"6,450   "
  1995-Oct,10/06 ,"6,215   ",10/13 ,"6,404   ",10/20 ,"6,497   ",10/27 ,"6,512   ",,   
  1995-Nov,11/03 ,"6,539   ",11/10 ,"6,516   ",11/17 ,"6,493   ",11/24 ,"6,484   ",,   
  1995-Dec,12/01 ,"6,450   ",12/08 ,"6,428   ",12/15 ,"6,411   ",12/22 ,"6,467   ",12/29 ,"6,474   "
  1996-Jan,01/05 ,"6,464   ",01/12 ,"6,498   ",01/19 ,"6,516   ",01/26 ,"6,405   ",,   
  1996-Feb,02/02 ,"6,413   ",02/09 ,"6,505   ",02/16 ,"6,511   ",02/23 ,"6,501   ",,   
  1996-Mar,03/01 ,"6,496   ",03/08 ,"6,461   ",03/15 ,"6,490   ",03/22 ,"6,473   ",03/29 ,"6,440   "
  1996-Apr,04/05 ,"6,441   ",04/12 ,"6,390   ",04/19 ,"6,425   ",04/26 ,"6,173   ",,   
  1996-May,05/03 ,"6,454   ",05/10 ,"6,065   ",05/17 ,"6,363   ",05/24 ,"6,412   ",05/31 ,"6,392   "
  1996-Jun,06/07 ,"6,421   ",06/14 ,"6,515   ",06/21 ,"6,452   ",06/28 ,"6,489   ",,   
  1996-Jul,07/05 ,"6,499   ",07/12 ,"6,499   ",07/19 ,"6,345   ",07/26 ,"6,394   ",,   
  1996-Aug,08/02 ,"6,297   ",08/09 ,"6,286   ",08/16 ,"6,445   ",08/23 ,"6,481   ",08/30 ,"6,526   "
  1996-Sep,09/06 ,"6,497   ",09/13 ,"6,498   ",09/20 ,"6,467   ",09/27 ,"6,520   ",,   
  1996-Oct,10/04 ,"6,485   ",10/11 ,"6,485   ",10/18 ,"6,523   ",10/25 ,"6,514   ",,   
  1996-Nov,11/01 ,"6,513   ",11/08 ,"6,541   ",11/15 ,"6,531   ",11/22 ,"6,512   ",11/29 ,"6,538   "
  1996-Dec,12/06 ,"6,534   ",12/13 ,"6,518   ",12/20 ,"6,523   ",12/27 ,"6,506   ",,   
  1997-Jan,01/03 ,"6,454   ",01/10 ,"6,499   ",01/17 ,"6,476   ",01/24 ,"6,513   ",01/31 ,"6,505   "
  1997-Feb,02/07 ,"6,483   ",02/14 ,"6,502   ",02/21 ,"6,496   ",02/28 ,"6,501   ",,   
  1997-Mar,03/07 ,"6,440   ",03/14 ,"6,449   ",03/21 ,"6,391   ",03/28 ,"6,409   ",,   
  1997-Apr,04/04 ,"6,493   ",04/11 ,"6,433   ",04/18 ,"6,412   ",04/25 ,"6,465   ",,   
  1997-May,05/02 ,"6,409   ",05/09 ,"6,430   ",05/16 ,"6,426   ",05/23 ,"6,423   ",05/30 ,"6,439   "
  1997-Jun,06/06 ,"6,435   ",06/13 ,"6,415   ",06/20 ,"6,334   ",06/27 ,"6,357   ",,   
  1997-Jul,07/04 ,"6,338   ",07/11 ,"6,351   ",07/18 ,"6,352   ",07/25 ,"6,337   ",,   
  1997-Aug,08/01 ,"6,360   ",08/08 ,"6,127   ",08/15 ,"6,221   ",08/22 ,"6,387   ",08/29 ,"6,400   "
  1997-Sep,09/05 ,"6,362   ",09/12 ,"6,393   ",09/19 ,"6,366   ",09/26 ,"6,396   ",,   
  1997-Oct,10/03 ,"6,375   ",10/10 ,"6,371   ",10/17 ,"6,408   ",10/24 ,"6,407   ",10/31 ,"6,400   "
  1997-Nov,11/07 ,"6,418   ",11/14 ,"6,385   ",11/21 ,"6,390   ",11/28 ,"6,416   ",,   
  1997-Dec,12/05 ,"6,448   ",12/12 ,"6,440   ",12/19 ,"6,463   ",12/26 ,"6,462   ",,   
  1998-Jan,01/02 ,"6,459   ",01/09 ,"6,430   ",01/16 ,"6,376   ",01/23 ,"6,359   ",01/30 ,"6,377   "
  1998-Feb,02/06 ,"6,412   ",02/13 ,"6,424   ",02/20 ,"6,415   ",02/27 ,"6,368   ",,   
  1998-Mar,03/06 ,"6,440   ",03/13 ,"6,420   ",03/20 ,"6,336   ",03/27 ,"6,405   ",,   
  1998-Apr,04/03 ,"6,443   ",04/10 ,"6,407   ",04/17 ,"6,417   ",04/24 ,"6,397   ",,   
  1998-May,05/01 ,"6,422   ",05/08 ,"6,422   ",05/15 ,"6,378   ",05/22 ,"6,368   ",05/29 ,"6,346   "
  1998-Jun,06/05 ,"6,333   ",06/12 ,"6,372   ",06/19 ,"6,383   ",06/26 ,"6,269   ",,   
  1998-Jul,07/03 ,"6,311   ",07/10 ,"6,354   ",07/17 ,"6,351   ",07/24 ,"6,354   ",07/31 ,"6,340   "
  1998-Aug,08/07 ,"6,336   ",08/14 ,"6,319   ",08/21 ,"6,315   ",08/28 ,"6,346   ",,   
  1998-Sep,09/04 ,"6,349   ",09/11 ,"6,366   ",09/18 ,"6,411   ",09/25 ,"6,396   ",,   
  1998-Oct,10/02 ,"5,950   ",10/09 ,"6,368   ",10/16 ,"6,418   ",10/23 ,"6,442   ",10/30 ,"6,417   "
  1998-Nov,11/06 ,"6,398   ",11/13 ,"6,401   ",11/20 ,"6,399   ",11/27 ,"6,401   ",,   
  1998-Dec,12/04 ,"6,390   ",12/11 ,"6,390   ",12/18 ,"6,449   ",12/25 ,"6,437   ",,   
  1999-Jan,01/01 ,"6,342   ",01/08 ,"6,393   ",01/15 ,"6,373   ",01/22 ,"6,352   ",01/29 ,"6,363   "
  1999-Feb,02/05 ,"6,369   ",02/12 ,"6,052   ",02/19 ,"5,899   ",02/26 ,"5,911   ",,   
  1999-Mar,03/05 ,"5,920   ",03/12 ,"5,895   ",03/19 ,"5,894   ",03/26 ,"5,864   ",,   
  1999-Apr,04/02 ,"5,879   ",04/09 ,"5,740   ",04/16 ,"5,849   ",04/23 ,"5,707   ",04/30 ,"5,877   "
  1999-May,05/07 ,"5,835   ",05/14 ,"5,804   ",05/21 ,"5,857   ",05/28 ,"5,845   ",,   
  1999-Jun,06/04 ,"5,864   ",06/11 ,"5,868   ",06/18 ,"5,926   ",06/25 ,"5,884   ",,   
  1999-Jul,07/02 ,"5,662   ",07/09 ,"5,808   ",07/16 ,"5,952   ",07/23 ,"5,927   ",07/30 ,"5,898   "
  1999-Aug,08/06 ,"5,925   ",08/13 ,"5,950   ",08/20 ,"5,970   ",08/27 ,"5,994   ",,   
  1999-Sep,09/03 ,"6,014   ",09/10 ,"5,917   ",09/17 ,"5,692   ",09/24 ,"5,973   ",,   
  1999-Oct,10/01 ,"6,032   ",10/08 ,"6,082   ",10/15 ,"6,090   ",10/22 ,"6,101   ",10/29 ,"6,111   "
  1999-Nov,11/05 ,"6,134   ",11/12 ,"6,128   ",11/19 ,"6,059   ",11/26 ,"6,006   ",,   
  1999-Dec,12/03 ,"6,087   ",12/10 ,"6,057   ",12/17 ,"6,043   ",12/24 ,"6,058   ",12/31 ,"6,043   "
  2000-Jan,01/07 ,"6,000   ",01/14 ,"6,019   ",01/21 ,"6,013   ",01/28 ,"5,988   ",,   
  2000-Feb,02/04 ,"6,011   ",02/11 ,"5,994   ",02/18 ,"5,989   ",02/25 ,"6,007   ",,   
  2000-Mar,03/03 ,"5,974   ",03/10 ,"5,857   ",03/17 ,"5,859   ",03/24 ,"5,863   ",03/31 ,"5,873   "
  2000-Apr,04/07 ,"5,820   ",04/14 ,"5,840   ",04/21 ,"5,836   ",04/28 ,"5,838   ",,   
  2000-May,05/05 ,"5,798   ",05/12 ,"5,757   ",05/19 ,"5,793   ",05/26 ,"5,784   ",,   
